시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년,,시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년
,2024-10-08(화),대전광역시,"256,677","40,592",532,"2,103",0,"187,634","1,194","24,622",,,2024-10-19(토),대전광역시,"189,763","30,339",374,"2,631",0,"138,512",882,"17,025"
,2024-10-09(수),대전광역시,"164,628","30,429",359,"2,528",0,"116,811",759,"13,742",,,2024-10-20(일),대전광역시,"154,419","24,591",315,"2,161",0,"111,935",708,"14,709"
,2024-10-10(목),대전광역시,"247,431","40,055",518,"1,919",0,"179,830","1,169","23,940",,,2024-10-21(월),대전광역시,"240,986","40,682",513,"1,857",0,"173,769","1,213","22,952"
,2024-10-11(금),대전광역시,"269,528","41,165",505,"2,428",0,"195,456","1,270","28,704",,,2024-10-22(화),대전광역시,"234,130","35,034",474,"1,821",0,"172,188","1,114","23,499"
,2024-10-12(토),대전광역시,"204,821","32,449",383,"3,042",0,"151,200",926,"16,821",,,2024-10-23(수),대전광역시,"245,034","39,471",495,"2,050",0,"179,000","1,180","22,838"
,2024-10-13(일),대전광역시,"154,104","25,666",330,"2,065",0,"111,670",718,"13,655",,,2024-10-24(목),대전광역시,"249,340","40,661",473,"1,892",0,"182,157","1,237","22,920"
,2024-10-14(월),대전광역시,"236,991","38,603",460,"1,856",0,"172,340","1,158","22,574",,,2024-10-25(금),대전광역시,"267,474","42,144",543,"2,164",0,"196,043","1,283","25,297"
31,2024-10-01(화),울산광역시,"90,240","1,011",224,"2,359",2,"77,907",99,"8,638",,,2024-10-26(토),대전광역시,"199,793","31,802",384,"2,896",0,"146,688",884,"17,139"
,2024-10-02(수),울산광역시,"131,578",948,304,"2,350",3,"109,816",107,"18,050",,,2024-10-27(일),대전광역시,"154,211","24,245",285,"2,149",0,"112,455",719,"14,358"
,2024-10-03(목),울산광역시,"74,622","1,144",175,"1,852",4,"63,804",92,"7,551",,,2024-10-28(월),대전광역시,"242,457","40,024",461,"1,836",0,"176,165","1,184","22,787"
,2024-10-04(금),울산광역시,"122,372","1,011",295,"2,269",0,"105,341",130,"13,326",,,2024-10-29(화),대전광역시,"244,783","40,750",487,"1,870",0,"178,016","1,231","22,429"
,2024-10-05(토),울산광역시,"96,907","1,122",233,"2,387",10,"83,393",116,"9,646",,,2024-10-30(수),대전광역시,"247,274","39,399",472,"2,062",0,"181,166","1,198","22,977"
,2024-10-06(일),울산광역시,"72,072",972,171,"1,676",5,"61,140",89,"8,019",,,2024-10-31(목),대전광역시,"249,853","39,316",487,"1,909",0,"184,220","1,236","22,685"
,2024-10-07(월),울산광역시,"120,736",878,276,"1,930",2,"101,748",88,"15,814",,31,2024-10-17(목),울산광역시,"127,569","1,009",298,"2,125",3,"107,684",119,"16,331"
,2024-10-08(화),울산광역시,"129,397","1,211",332,"2,166",0,"108,675",141,"16,872",,,2024-10-18(금),울산광역시,"128,558","1,118",308,"2,103",1,"106,759",119,"18,150"
,2024-10-09(수),울산광역시,"84,271","1,238",208,"2,443",3,"71,726",124,"8,529",,,2024-10-19(토),울산광역시,"91,213","1,157",195,"2,235",4,"77,289",111,"10,222"
,2024-10-10(목),울산광역시,"136,465",985,336,"2,214",0,"116,204",117,"16,609",,,2024-10-20(일),울산광역시,"78,704","1,022",190,"1,894",2,"65,750",107,"9,739"
,2024-10-11(금),울산광역시,"137,609","1,088",314,"2,329",2,"114,941",112,"18,823",,,2024-10-21(월),울산광역시,"123,791",934,289,"2,058",6,"104,251",103,"16,150"
